family,setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,source
CIFAR-10 ResNet56,Dirichlet,CA2FL,10,57.052,2.9591072978180444,58.725,2.233455842411039,1.2063593518066407,0.0824861155044128,1.1589547338867188,0.05653859133669793,added_baselines
CIFAR-10 ResNet56,Dirichlet,AsyncSGD constant,10,87.364,0.4799208268037583,87.485,0.4839059826040622,0.4270784762573242,0.009352914410578958,0.4142553802490234,0.010749072016438587,added_baselines
CIFAR-10 ResNet56,High Delay,AsyncSAM+RMS,10,90.487,0.2832684239374378,90.68799999999999,0.2630133076481109,0.3304801661682129,0.00876049106160675,0.3179250299072266,0.009821902880805802,cifar10_resnet56
CIFAR-10 ResNet56,High Delay,AsyncSGD,10,87.915,0.3211308144666291,88.03099999999999,0.2970336681253515,0.4173910946655274,0.008373735422297059,0.3973125918579102,0.005906403604585869,cifar10_resnet56
CIFAR-10 ResNet56,High Delay,FedAsync,10,87.96,0.27386127875258404,88.103,0.2642366363697519,0.4202173266601562,0.011110346636613156,0.4004887838745117,0.006515080870380356,cifar10_resnet56
CIFAR-10 ResNet56,High Delay,FedBuff,10,85.083,0.9707734030143189,86.17,0.26374229846575425,0.4584646606445312,0.035233734391138354,0.41921400115966795,0.00863071214099147,cifar10_resnet56
CIFAR-10 ResNet56,High Delay,FADAS,10,82.793,1.0903490266882423,84.031,0.484921643154849,0.5188249905395508,0.03610836970492894,0.4769498736572266,0.01367270457063569,added_baselines
CIFAR-10 ResNet56,High Delay,CA2FL,10,56.475,2.8924185381787333,58.734,2.1248256399055414,1.2382799291992188,0.08236592128662992,1.1601939697265624,0.05865440409462714,added_baselines
CIFAR-10 ResNet56,High Delay,AsyncSGD constant,10,87.859,0.3143389889911846,87.967,0.2715529414313134,0.42331556640625,0.010604967852497782,0.4021932922363281,0.00751750922735905,added_baselines
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,AsyncSAM+RMS,10,74.735,0.5039097141353812,75.195,0.3850259731498641,1.0365291809082033,0.020584805293818,1.0198295288085937,0.016937657189398842,cifar100_resnet18_300e
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,AsyncSGD,10,74.03999999999999,0.3468717342188609,74.204,0.3369035470279294,1.1746692584228517,0.018834753491032058,1.166122200317383,0.015632701882122565,cifar100_resnet18_300e
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,FedAsync,10,74.08900000000001,0.32968014802229145,74.22299999999998,0.30877337968160284,1.1721924884033204,0.01012270328668314,1.166102817993164,0.010408148776507585,cifar100_resnet18_300e
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,FedBuff,10,68.61999999999999,0.9383602719638128,69.9,0.3066920279368199,1.3137627258300781,0.04425824323389196,1.2387453735351561,0.011315922490989344,cifar100_resnet18_300e
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,FADAS,10,63.094,0.7235634042708348,64.56,0.6835495592859376,1.3898920227050782,0.03302757353813603,1.3321077917480468,0.022832987900051584,added_baselines
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,CA2FL,10,57.204,1.1251950941947813,58.435,0.5460814957494885,1.6241410571289063,0.04297986472049088,1.5743042199707031,0.01681546479493384,added_baselines
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,AsyncSGD constant,10,73.941,0.24671643642043548,74.154,0.2557420575501799,1.1751472039794921,0.00945374668911772,1.1672518255615234,0.008541179969891139,added_baselines
CIFAR-100 ResNet18 300e RA+RE+LS,Label-Sorted,AsyncSAM+RMS,10,74.638,0.5229493283292339,74.888,0.43705377243538346,1.0418291497802734,0.012200065678825112,1.0282648986816407,0.0138747178808374,cifar100_resnet18_300e
CIFAR-100 ResNet18 300e RA+RE+LS,Label-Sorted,AsyncSGD,10,74.292,0.26373471519692193,74.423,0.26283264637407455,1.161122632446289,0.009880861650164096,1.157307700805664,0.00991692811011459,cifar100_resnet18_300e
